code,mission_sector,business_function,service,definition
B01.053.351,Defense and National Security,Atomic energy defense activities,Defense Nuclear Security,"Defense Nuclear Security encompasses the services associated with providing engineering, technical, operational, and administrative security support and oversight to assure effective security, to include the physical, personnel, materials control and accounting, classified and sensitive information protection, and technical security for defense nuclear weapon programs."
B01.053.364,Defense and National Security,Atomic energy defense activities,Counter-Proliferation and Counter-Terrorism,"Encompasses counter-proliferation, counter-terrorism, and nuclear threat response, domestically and internationally, including nuclear threat identification, nuclear forensics, and the neutralization of improvised nuclear and radiological devices."
B01.054.008,Defense and National Security,Defense-related activities,Disaster Preparedness and Planning,"Disaster Preparedness and Planning involves the development of response programs to be used in case of a disaster as well as pre-disaster mitigation efforts to minimize the potential for loss of life and property. This involves the development of emergency management programs and activities as well as staffing and equipping regional response centers, and mitigation focused construction and preparation."
B01.054.009,Defense and National Security,Defense-related activities,Disaster Repair and Restore,"Disaster Repair and Restore involves the immediate actions taken to respond to a disaster and the cleanup and restoration activities that take place after a disaster.  These actions include, but are not limited to, providing mobile telecommunications, operational support, power generation, search and rescue, and medical life-saving actions.  It also involves the cleanup and rebuilding of homes, buildings, roads, environmental resources, or infrastructure that may be damaged due to a disaster."
B01.054.010,Defense and National Security,Defense-related activities,Emergency Response,"Emergency Response involves the immediate actions taken to respond to a disaster. These actions include, but are not limited to, providing mobile telecommunications, operational support, energy emergency preparedness, power generation, search and rescue, and medical life-saving actions."
B01.152.331,Defense and National Security,International security assistance,International Security Assistance,"International Security Assistance involves activities taken abroad to protect and advance U.S. interests and, if deterrence fails, decisively defeat threats to those interests."
B01.055.305,Defense and National Security,Intelligence operations,Counter-Intelligence,"Counter-Intelligence includes: All planning, collection, processing, analysis, production and dissemination of contrary intelligence"
B01.055.323,Defense and National Security,Intelligence operations,"Intelligence, Surveillance, and Reconnaissance","Intelligence, Surveillance, and Reconnaissance (ISR) refers to the ability to understand dispositions and intentions as well as the characteristics and conditions of the operational environment that bear on national and military decision-making. ISR also defines the ability to conduct activities to meet the intelligence needs of national and military decision-makers. It includes ISR planning/direction, collection, processing/exploitation, analysis & production and ISR dissemination."
B02.151.367,Diplomacy and Trade,International development and humanitarian assistance,International Development,"International Development refers to those activities related to the implementation of development assistance programs to developing and transitioning countries throughout the world. Development may include technical assistance (the transfer of knowledge and expertise), and the delivery of equipment, commodities."
B02.151.368,Diplomacy and Trade,International development and humanitarian assistance,Humanitarian Aid,"Humanitarian Aid refers to those activities related to the implementation of humanitarian assistance programs to developing and transitioning countries throughout the world. Aid may include technical assistance (the transfer of knowledge and expertise), and the delivery of equipment, commodities and urgent humanitarian assistance including food aid."
B02.153.041,Diplomacy and Trade,Conduct of foreign affairs,Foreign Affairs,"Foreign Affairs refers to those activities associated with the implementation of foreign policy and diplomatic relations, including the operation of embassies, consulates, and other posts; ongoing membership in international organizations; the development of cooperative frameworks to improve relations with other nations; and the development of treaties and agreements."
B02.153.306,Diplomacy and Trade,Conduct of foreign affairs,Arms Control,"Arms Control includes all activities for managing both legal and illegal weapons in accordance with State, Federal and international law."
B02.153.361,Diplomacy and Trade,Conduct of foreign affairs,American Indian and Alaskan Native Relations,"American Indian and Alaskan Native Relations involves all activities related to working with tribal governments, in tribal trust relationships or supporting tribal nations through treaties and/or other legal agreements. "
B02.155.043,Diplomacy and Trade,International commerce,Global Trade,"Global Trade refers to those activities the federal government undertakes to advance worldwide economic prosperity by increasing trade through the opening of overseas markets and freeing the flow of goods, services, and capital."
B03.372.004,Economic and Financial,Postal service,Postal Services,"Postal Services provide for the timely and consistent exchange and delivery of mail and packages between businesses, organizations, and residents of the United States or between businesses, organizations, and residents of the United States and the rest of the world. It also includes the nationwide retail infrastructure required to make Postal Services easily accessible to customers. "
B03.376.011,Economic and Financial,Other advancement of commerce,Business and Industry Development,"Business and Industry Development supports activities related to the creation of economic and business opportunities and stimulus, and the promotion of financial and economic stability for corporations and citizens involved in different types of business."
B03.376.012,Economic and Financial,Other advancement of commerce,Intellectual Property Protection,"Intellectual Property Protection involves all activities to protect and promote the ownership of ideas and control over the tangible or virtual representation of those ideas, including inventions and discoveries; literary and artistic works; and symbols, names, images, and designs used in commerce."
B03.376.013,Economic and Financial,Other advancement of commerce,Financial Sector Oversight,"Financial Sector Oversight involves the regulation of private sector firms and markets (stock exchanges, corporations, etc.) to protect investors from fraud, monopolies, and illegal behavior. This also includes deposit protection."
B03.376.014,Economic and Financial,Other advancement of commerce,Industry Sector Income Stabilization,"Industry Sector Income Stabilization involves all programs and activities devoted to assisting adversely impacted industrial sectors (farming, commercial transportation, etc.) to ensure the continued availability of their services for the American public and the long-term economic stability of these sectors."
B03.451.001,Economic and Financial,Community development,Homeownership Promotion,Homeownership Promotion includes activities devoted to assisting citizens interested in buying homes and educating the public as to the benefits of homeownership. 
B03.452.002,Economic and Financial,Area and regional development,Community and Regional Development,"Community and Regional Development involves activities designed to assist communities in preventing and eliminating blight and deterioration, assist economically distressed communities, and encourage and foster economic development through improved public facilities and resources."
B03.604.038,Economic and Financial,Housing assistance,Housing Assistance,"Housing Assistance involves the development and management programs that provide housing to those who are unable to provide housing for themselves including the rental of single-family or multifamily properties, and the management and operation of federally supported housing properties."
B04.501.015,Education and Workforce,"Elementary, Secondary, and Vocational Education","Elementary, Secondary, and Vocational Education","Elementary, Secondary, and Vocational Education refers to the provision of education in elementary subjects (reading and writing and arithmetic); education provided by a high school or college preparatory school; and vocational and technical education and training."
B04.501.271,Education and Workforce,"Elementary, Secondary, and Vocational Education",Educational Excellence,"Educational Excellence refers to activities undertaken by the US Government to evaluate educational programs, collect data on America?s schools, and disseminate information and research"
B04.502.016,Education and Workforce,Higher Education,Higher Education,"Higher Education refers to education beyond the secondary level; specifically, education provided by a college or university."
B04.503.017,Education and Workforce,Research and general education aids,Cultural and Historic Preservation,Cultural and Historic Preservation involves all activities performed by the federal government to collect and preserve information and artifacts important to the culture and history of the United States and its citizenry and the education of U.S. citizens and the world.
B04.503.018,Education and Workforce,Research and general education aids,Cultural and Historic Exhibition,"Cultural and Historic Exhibition includes all activities undertaken by the U.S. government to promote education through the exhibition of cultural, historical, and other information, archives, art, etc."
B04.504.064,Education and Workforce,Training and employment,Training and Employment,"Training and Employment includes programs of job or skill training, employment services and placement, and programs for non-federal employees to promote the hiring of marginal, unemployed, or low-income workers."
B04.504.228,Education and Workforce,Training and employment,Labor Relations,Labor Relations manages the relationship between the agency and its unions and bargaining units.  This includes negotiating and administering labor contracts and collective bargaining agreements; managing negotiated grievances; and participating in negotiated third party proceedings.
B04.504.311,Education and Workforce,Training and employment,Vocational Rehabilitation,Vocational Rehabilitation includes all activities devoted to providing educational resources and life skills necessary to rejoin society as responsible and contributing members.
B04.506.065,Education and Workforce,Social services,Labor Rights Management,"Labor Rights Management refers to those activities undertaken to ensure that employees and employers are aware of and comply with all statutes and regulations concerning labor rights, including those pertaining to wages, benefits, safety and health, whistleblower, and non-discrimination policies for non-federal employees."
B04.554.066,Education and Workforce,Consumer and occupational health and safety,Worker Safety,"Worker Safety refers to those activities undertaken to save lives, prevent injuries, and protect the health of America's workers."
B05.251.026,"Energy, Science and Technology",General science and basic research,Scientific and Technological Research and Innovation,"Scientific and Technological Research and Innovation includes all federal activities whose goal is the creation of new scientific and/or technological knowledge as a goal in itself, without a specific link to the other LoBs or Services of the BRM.? ?    "
B05.272.020,"Energy, Science and Technology",Energy conservation,Energy Conservation,Energy Conservation and Preparedness involves protection of energy resources from over consumption to ensure the continued availability of fuel resources and to promote environmental protection.
B05.271.019,"Energy, Science and Technology",Energy supply,Energy Production and Transmission,"Energy Production involves the transformation of raw energy resources into useable, deliverable energy. all activities devoted to ensuring the availability of an adequate supply of energy for the United States and its citizens. It ?involves the management and oversight of energy producing resources including facilities, dams, land, offshore resources and the private sector and includes all types of mass-produced energy (e.g., hydroelectric, nuclear, wind, solar, or fossil fuels)."
B05.276.272,"Energy, Science and Technology","Energy information, policy, and regulation",Energy Technology Development,"Energy Technology Development encompasses the activities that apply the results of scientific research to design, develop, and test new technologies, components, and processes.  This service focuses on the development of prototypes and pilots for wide-scale technologies and components that can be mass produced by private-sector partners.  The fabrication of one-time components used in very specific research techniques is an activity within the General Sciences and Innovation LOB."
B06.301.056,Environmental and Natural Resources,Water resources,Water Resource Management,"Water Resource Management includes all activities that promote the effective use, protection and management of the nation?s water resources."
B06.302.057,Environmental and Natural Resources,Conservation and land management,"Conservation, Marine and Land Management","Conservation, Marine and Land Management involves the responsibilities of surveying, maintaining, and operating public lands and monuments, as well as activities devoted to ensuring the preservation of land, water, wildlife, and natural resources, both domestically and internationally. It also includes the sustainable stewardship of natural resources on federally owned/controlled lands for commercial use (mineral mining, grazing, forestry, fishing, etc.)."
B06.303.058,Environmental and Natural Resources,Recreational resources,Recreational Resource Management and Tourism,"Recreational Resource Management and Tourism involves the management of national parks, monuments, and tourist attractions as well as visitor centers, campsites, and park service facilities."
B06.304.025,Environmental and Natural Resources,Pollution control and abatement,Pollution Prevention and Control,"Pollution Prevention and Control includes activities associated with identifying appropriate pollution standards and controlling levels of harmful substances emitted into the soil, water and atmosphere from manmade sources. Environmental mitigation projects are also included in this business line."
B06.304.308,Environmental and Natural Resources,Pollution control and abatement,Environmental Waste Management,"Environmental Waste Management includes activities associated with identifying appropriate pollution standards and controlling levels of harmful substances emitted into the soil, water and atmosphere from manmade sources. Environmental mitigation projects are also included."
B06.304.309,Environmental and Natural Resources,Pollution control and abatement,Environmental Site Stewardship,"Environmental Site Stewardship supports the immediate and long-term activities associated with the correcting and offsetting of environmental deficiencies or imbalances, including restoration activities at facilities under the stewardship of the Federal Government."
B06.306.023,Environmental and Natural Resources,Other natural resources,Environmental Monitoring and Forecasting,"Environmental Monitoring and Forecasting involves the observation and prediction of environmental conditions. This includes but is not limited to the monitoring and forecasting of water quality, water levels, ice sheets, air quality, regulated and non-regulated emissions, as well as the observation and prediction of weather patterns and conditions."
B06.306.024,Environmental and Natural Resources,Other natural resources,Environmental Remediation,"Environmental Remediation supports the immediate and long-term activities associated with the correcting and offsetting of environmental deficiencies or imbalances, including restoration activities."
B07.551.217,Health and Well-Being,Health care services,Access to Care,"Access to Care focuses on the access to appropriate care.  This includes streamlining efforts to receive care; ensuring care is appropriate in terms of type, care, intensity, location and availability; providing seamless access to health knowledge, enrolling providers; performing eligibility determination, and managing patient movement.   It can include aid to family with children, immunization programs, and child support enforcement."
B07.551.247,Health and Well-Being,Health care services,Health Care Administration,"Health Care Administration assures that federal health care resources are expended effectively to ensure quality, safety, and efficiency.  This includes managing health care quality, cost, workload, utilization, and fraud/abuse efforts.  "
B07.551.248,Health and Well-Being,Health care services,Health Care Delivery Services,"Health Care Delivery Services provides and supports the delivery of health care to its beneficiaries.  This includes assessing health status; planning health services; ensuring quality of services and continuity of care; and managing clinical information and documentation.  It can include aid to family with children, immunization programs, and child support enforcement."
B07.551.313,Health and Well-Being,Health care services,Population Health Management,"Population Health Management assesses health indicators as a means to protect and promote the health of the general population.  This includes monitoring of health, health planning, and health management of humans, animals, animal products, and plants, as well as tracking the spread of diseases and pests.  Also includes evaluation of consumer products, drug, and foods to assess the potential risks and dangers; education of the consumer and the general population; and facilitation of health promotion and disease and injury prevention."
B07.552.249,Health and Well-Being,Health research and training,Health Care Research and Practitioner Education,"Health Care Research and Practitioner Education fosters advancement in health discovery and knowledge.  This includes developing new strategies to handle diseases; promoting health knowledge advancement; identifying new means for delivery of services, methods, decision models and practices; making strides in quality improvement; managing clinical trials and research quality; and providing for practitioner education. "
B07.552.358,Health and Well-Being,Health research and training,Healthcare and Regulatory Science Research,"The application of advanced technology and science-based standards in a regulatory framework to support pre-market and post-market evaluation and approval of new technologies, products, services, and manufacturing practices."
B07.552.366,Health and Well-Being,Health research and training,Biomedical Research,"Basic, clinical, and translational research concerned with the application of biological, physiological, sociological principles to clinical medicine to improve human health."
B07.554.310,Health and Well-Being,Consumer and occupational health and safety,Food and Drug Quality and Safety,"Food and Drug Quality and Safety assesses quality indicators and safety metrics as a means to protect and promote the health of the general population.  This includes monitoring of humans, animals, animal products, and plants, as well as tracking the spread of diseases and pests.  Also includes evaluation of food and drug related incidents to assess the potential risks and dangers; education of the consumer and the general population; and facilitation of health promotion and disease and injury prevention."
B07.571.355,Health and Well-Being,Medicare,Medicare,Medicare involves all activities related to the disbursement of Medicare funds from the federal government directly to beneficiaries (individuals or organizations) who satisfy federal eligibility requirements.
B07.571.356,Health and Well-Being,Medicare,Medicaid,Medicaid involves all activities related to the disbursement of Medicaid funds from the federal government directly to beneficiaries (individuals or organizations) who satisfy federal eligibility requirements.
B07.571.359,Health and Well-Being,Medicare,CHIP (Children's Health Insurance Program),CHIP (Children's Health Insurance Program) involves all activities related to the disbursement of CHIP funds from the federal government directly to beneficiaries (individuals or organizations) who satisfy federal eligibility requirements.
B07.571.360,Health and Well-Being,Medicare,"Hospital and medical care for American Indians, Alaska Natives","Hospital and medical care for American Indians and Alaska Natives assures that federal health care resources for tribes and tribal members are expended effectively to ensure quality, safety, and efficiency and provides and supports the delivery of health care to American Indians and Alaska Natives.  "
B07.601.036,Health and Well-Being,General retirement and disability insurance (excluding social security),Retirement and Disability Benefits,"Retirement and Disability Benefits involves the development of policies and management of retirement benefits, pension benefits, and income security for those who are retired or disabled (excluding Veteran Benefits)."
B07.603.037,Health and Well-Being,Unemployment compensation,Unemployment Compensation,"Unemployment Compensation provides income security to those who are no longer employed, while they seek new employment."
B07.605.039,Health and Well-Being,Food and nutrition assistance,Food and Nutrition Assistance,Food and Nutrition Assistance involves the development and management of programs that provide food and nutrition assistance to those members of the public who are unable to provide for these needs themselves.
B07.609.040,Health and Well-Being,Other income security,Survivor Compensation,"Survivor Compensation provides compensation to the survivors of individuals currently receiving or eligible to receive benefits from the federal government. This includes, but is not limited to, survivors such as spouses or children of veterans or wage earners eligible for social security payments."
B07.651.303,Health and Well-Being,Social Security,Social Security Benefits,"Social Security Benefits includes all direct transfers to Individuals and involves the disbursement of funds from the federal government directly to beneficiaries who satisfy federal eligibility requirements with no restrictions imposed on the recipient as to how the money is spent.   Purposes include Retirement, Survivors, and Old Age/ Supplemental Security Income (needs-based)."
B07.703.332,Health and Well-Being,Hospital and medical care for veterans,Hospital and medical care for veterans,"Hospital and medical care for veterans assures that federal health care resources for Veterans are expended effectively to ensure quality, safety, and efficiency and provides and supports the delivery of health care to Veterans.  "
B07.705.333,Health and Well-Being,Other veterans benefits and services,Veteran Benefits and Services,"The Veteran Benefits and Services service involves the development and management of retirement benefits, pension benefits, and income security for Veterans."
B08.751.033,Law and Justice,Federal law enforcement activities,Border and Transportation Security,"Border and Transportation Security includes appropriately facilitating or deterring entry and exit of people, goods, and conveyances at and between U.S. ports of entry, as well as ensuring the security of transportation and infrastructure networks, facilities, vehicles, and personnel within the United States."
B08.751.044,Law and Justice,Federal law enforcement activities,Fugitive and Criminal Apprehension,"Criminal Apprehension involves activities associated with the tracking, arrest, detention, and transportation of groups or individuals responsible and believed to be responsible for committing federal crimes."
B08.751.045,Law and Justice,Federal law enforcement activities,Criminal Investigation and Surveillance,Criminal Investigation and Surveillance includes collecting evidence required to determine responsibility for a crime and monitoring and questioning affected parties.
B08.751.047,Law and Justice,Federal law enforcement activities,Crime Prevention,Crime Prevention entails all efforts designed to create safer communities through the control and reduction of crime by addressing the causes of crime and reducing opportunities for crimes to occur.
B08.751.048,Law and Justice,Federal law enforcement activities,Leadership Protection,"Leadership Protection involves all activities performed to protect the health and well-being of the president, vice-president, their families, foreign leaders and dignitaries, federal judges, and other high-level government officials."
B08.751.050,Law and Justice,Federal law enforcement activities,Substance Control,"Substance Control supports activities associated with the enforcement of laws regarding legal substances (i.e., alcohol and tobacco) and illegal narcotics including trafficking, possession, sale, distribution, and other related activities."
B08.751.304,Law and Justice,Federal law enforcement activities,Immigration and Naturalization,"Immigration and Naturalization includes all activities for tracking and granting of official status on all non-native non-US citizens, including: refugees, naturalized citizens, legal and illegal immigrants."
B08.751.346,Law and Justice,Federal law enforcement activities,Criminal and Terrorist Threat Mitigation,"Criminal and Terrorist Threat Mitigation involves counter activities to prevent, disrupt, weaken, eliminate, and bring to justice threats from organized crime groups, terror networks, gangs, and drug-cartels.  "
B08.751.347,Law and Justice,Federal law enforcement activities,Criminal Management,"Criminal Management includes various functions associated with administering sentences of imprisonment, such as sentence computations, transportation of criminals, and interaction with the public."
B08.751.348,Law and Justice,Federal law enforcement activities,Execute Court Orders,"Execute Court Orders involves executing civil, criminal, and foreign orders as directed by the court."
B08.751.352,Law and Justice,Federal law enforcement activities,Witness Protection,"Witness Protection involves securing, relocating, and giving Federal witnesses (and their families) new identities."
B08.752.051,Law and Justice,Federal litigative and judicial activities,Judicial Hearings,Judicial Hearings includes activities associated with proceedings (usually by a court of law) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence.
B08.752.052,Law and Justice,Federal litigative and judicial activities,Legal Defense,Legal Defense includes those activities associated with the representation of a defendant in a criminal or civil proceeding.
B08.752.053,Law and Justice,Federal litigative and judicial activities,Legal Investigation,"Legal Investigation includes activities associated with gathering information about a given party (government agency, citizen or corporation) that would be admissible in a court of law in an attempt to determine a legal question or matter."
B08.752.054,Law and Justice,Federal litigative and judicial activities,Legal Prosecution and Litigation,Legal Prosecution and Litigation includes all activities involved with presenting a case in a legal proceeding both in a criminal or civil court of law in an attempt to prove guilt/responsibility.
B08.752.055,Law and Justice,Federal litigative and judicial activities,Resolution Facilitation,"Resolution Facilitation refers to those activities outside a court of law, such as mediation and arbitration, which may be used in an attempt to settle a dispute between two or more parties (government agency, citizen, or corporation)."
B08.752.324,Law and Justice,Federal litigative and judicial activities,Adjudicate Non-Judicial Requests,"Determining the applicability of relevant statute, regulation, standard or policy to a specific individual or organizations actions or requests.  Also, adjudicate Non-Judicial Requests includes those activities outside a court of law, such as mediation and arbitration, which may be used in an attempt to settle a dispute between two or more parties (government agency, citizen, or corporation).  "
B08.752.336,Law and Justice,Federal litigative and judicial activities,Seized Asset Management,"Seized Asset Management involves the seizure, storage, administrative tracking and management of property seized from individuals responsible or believed to be responsible for committing federal crimes."
B08.753.005,Law and Justice,Federal correctional activities,Criminal Incarceration,"Criminal Incarceration includes activities associated with the housing, custody and general care of criminals serving time in penitentiaries.   This includes self-improvement opportunities provided as part of Criminal Incarceration."
B08.753.006,Law and Justice,Federal correctional activities,Criminal Rehabilitation,Criminal Rehabilitation includes all government activities devoted to providing convicted criminals with the educational resources and life skills necessary to rejoin society as responsible and contributing members.  This includes work and treatment opportunities provided as part of Criminal Rehabilitation.
B09.252.027,Transport and Space,"Space flight, research, and supporting activities",Space Exploration and Innovation,"Space Exploration and Innovation includes all activities devoted to innovations directed at human and robotic space flight and the development and operation of space launch and transportation systems, and the general research and exploration of outer space"
B09.252.063,Transport and Space,"Space flight, research, and supporting activities",Space Operations,"Space Operations involves the activities related to the safe launches/missions of passengers or goods into aerospace and includes commercial, scientific, and military operations."
B09.401.061,Transport and Space,Ground transportation,Ground Transportation,Ground Transportation involves the activities related to ensuring the availability of transit and the safe passage of passengers and goods over land. 
B09.402.060,Transport and Space,Air transportation,Air Transportation,Air Transportation involves the activities related to the safe passage of passengers or goods through the air. It also includes command and control activities related to the safe movement of aircraft through all phases of flight for commercial and military operations. 
B09.403.062,Transport and Space,Water transportation,Water Transportation,Water Transportation involves the activities related to ensuring the availability of transit and the safe passage of passengers and goods over sea and water. 
B09.407.312,Transport and Space,Other transportation,Navigation,"Navigation includes all means for the representation of position information through the use of attributes such as elevation, latitude, and longitude coordinates. This includes land-based and space-based geo-positioning technologies and services."
B10.802.103,General Government,Executive direction and management,Enterprise Architecture,"Enterprise Architecture is an established process for describing the current state and defining the target state and transition strategy for an organization?s people, processes, and technology."
B10.802.104,General Government,Executive direction and management,Strategic Planning,Strategic Planning entails the determination of annual and long-term goals and the identification of the best approach for achieving those goals.
B10.802.259,General Government,Executive direction and management,Budget and Performance Integration,"Budget and Performance Integration involves activities that align Federal resources allocated through budget formulation, execution, and management actions with examinations of program objectives, performance, and demonstrated results such as Program Performance Assessments, Government Performance Results Act (GPRA) plans and reports, performance-based agency budget submissions, and Financial Management Cost Accounting and Performance Measurement data."
B10.802.354,General Government,Executive direction and management,IT Strategy and Innovation,"IT Strategy and Innovation includes all activities outside of normal Strategic Planning that focus on trying new approaches, new systems and thinking about/ planning IT investments in different ways."
B10.802.517,General Government,Executive direction and management,External Partner Relationship Management,"Provides a framework to promote the effective collaboration between an organization and its business partners, particularly members of the distribution chain (e.g., channel and alliance partners, resellers, agents, brokers, and dealers) and other third parties that support operations and service delivery to an organization?s customers; includes performance evaluation of partners, if necessary"
B10.802.546,General Government,Executive direction and management,Portfolio Management,Defines the set of capabilities to support the administration of a group of investments held by an organization
B10.802.547,General Government,Executive direction and management,Performance Management,"Defines the set of capabilities to measure the effectiveness of an organization's financial assets and capital.  This can include Corrective Action, Program Evaluation, and Program Monitoring."
B10.803.101,General Government,Central fiscal operations,Budget Formulation,Budget Formulation involves all activities undertaken to determine priorities for future spending and to develop an itemized forecast of future funding and expenditures during a targeted period of time. This includes the collection and use of performance information to assess the effectiveness of programs and develop budget priorities.
B10.803.105,General Government,Central fiscal operations,Budget Execution,Budget Execution involves the legal (apportionment) and managerial (allotment and sub-allotment) distribution of budget authority to achieve results consistent with the formulated budget. 
B10.803.116,General Government,Central fiscal operations,Debt Collection,Debt Collection supports activities associated with the collection of money owed to the U.S. government from both foreign and domestic sources.
B10.803.122,General Government,Central fiscal operations,Travel,"Travel involves the activities associated with planning, preparing, and monitoring of business related travel for an organization?s employees."
B10.803.124,General Government,Central fiscal operations,Accounting,"Accounting entails accounting for assets, liabilities, fund balances, revenues and expenses associated with the maintenance of federal funds and expenditure of federal appropriations (Salaries and Expenses, Operation and Maintenance, Procurement, Working Capital, Trust Funds, etc.), in accordance with applicable federal standards (FASAB, Treasury, OMB, GAO, etc.)."
B10.803.126,General Government,Central fiscal operations,Payments,"Payments includes disbursements of federal funds, via a variety of mechanisms, to federal and private individuals, federal agencies, state, local and international governments, and the private sector, to effect payment for goods and services, or distribute entitlements, benefits, grants, subsidies, loans, or claims."
B10.803.127,General Government,Central fiscal operations,Collections and Receivables,"The Collections and Receivables service includes deposits, fund transfers, and receipts for sales or service."
B10.803.180,General Government,Central fiscal operations,Taxation Management,Taxation Management includes activities associated with the implementation of the Internal Revenue Code and the collection of taxes in the United States and abroad.
B10.803.260,General Government,Central fiscal operations,Tax and Fiscal Policy,"Tax and Fiscal Policy encompasses analysis of the implications for economic growth and stability in the United States and the world of Federal tax and spending policies.  This includes assessing the sustainability of current programs and policies, the best means for raising revenues, the distribution of tax liabilities, and the appropriate limits on debt."
B10.803.328,General Government,Central fiscal operations,Collect Revenues and User Fees,Collect Revenues and User Fees supports activities associated with the collection of money owed to the U.S. government from both foreign and domestic sources.   It also involves the collection of fees assessed on individuals or organizations for the provision of Government services and for the use of Government goods or resources.
B10.804.118,General Government,General property and records management,Federal Asset Sales,"Federal Asset Sales encompasses the activities associated with the acquisition, oversight, tracking, and sale of non-internal assets managed by the federal government with a commercial value and sold to the private sector."
B10.804.119,General Government,General property and records management,"Facilities, Fleet and Equipment Management","Facilities, Fleet, and Equipment Management involves the maintenance, administration, certification, and operation of office buildings, fleets, machinery, and other capital assets that are the responsibility of the federal government."
B10.804.143,General Government,General property and records management,Goods and Services Acquisition,"Goods and Services Acquisition involves the procurement of physical goods, products, and capital assets to be used by the federal government and the oversight and/or management of contractors and service providers from the private sector."
B10.804.144,General Government,General property and records management,Inventory Control,"Inventory Control refers to the tracking of information related to procured assets and resources with regard to quantity, quality, and location."
B10.804.145,General Government,General property and records management,Logistics Management,Logistics Management involves the planning and tracking of personnel and their resources in relation to their availability and location.
B10.804.345,General Government,General property and records management,Management of Government Records,Management of Government Records involves the management and stewardship of a type of information by the federal government in order to facilitate communication and information archival.  This classification and taxonomic processes that links logical data and information sets.    
B10.805.106,General Government,Central personnel management,Workforce Planning,Workforce Planning involves the processes for identifying the workforce competencies required to meet the agency?s strategic goals and for developing the strategies to meet these requirements.
B10.805.251,General Government,Central personnel management,Staffing and Recruiting,"Staffing and Recruiting establishes procedures for attracting and selecting high-quality, productive employees with the right skills and competencies, in accordance with merit system principles.  This includes: establishing an applicant evaluation approach (which may include drug and alcohol testing); announcing the vacancy, sourcing and evaluating candidates against the competency requirements for the position; initiating pre-employment activities; and hiring employees."
